Metadata_platename,Metadata_platenum,Metadata_well,Count_Nuclei,hc_Count_Nuclei_normalized,hc_Count_Nuclei_z_score,Row,Col,Compound Plate #,Chemical.Name,Treatments,Positive.control
MRMTRP14,12397,G13,248.5,452.438,0.189,G,13,14,BCC0038534,DRUG,no
MRMTRP41,12401,H03,248.5,451.383,0.181,H,3,41,PAC,DMSO,no
MRMTRP16,12311,J01,248.5,442.641,0.115,J,1,16,DMSO,DMSO,no
MRMTRP21,12315,F20,248.5,431.547,0.031,F,20,21,,DRUG,no
MRMTRP10,12300,K24,248.5,423.695,-0.028,K,24,10,BCC0040523,DRUG,no
MRMTRP11,12301,F16,248.5,393.734,-0.255,F,16,11,BCC0102589,DRUG,no
MRMTRP1uM03,12387,F05,248.5,345.563,-0.619,F,5,3,Biperiden hydrochloride,DRUG,no
MRMTRP10uM05,12392,L15,248.5,300.297,-0.962,L,15,5,Vecuronium bromide,DRUG,no
MRMTRP26,12319,E21,248.5,214.188,-1.613,E,21,26,BCC0038122,DRUG,no
MRMTRP08,12298,C24,248.5,195.906,-1.751,C,24,8,BCC0045915,DRUG,no
MRMTRP29,12322,F17,248.5,194.859,-1.759,F,17,29,BCC0042408,DRUG,no
MRMTRP10uM01,12384,I06,248.5,194.758,-1.76,I,6,1,"2-Hydroxy-5-(2,5-dihydroxybenzylamino)benzoic acid",DRUG,no
MRMTRP43,12382,A01,248.5,-117.164,-4.119,A,1,43,DMSO,DMSO,no
MRMTRP15,12304,O22,249,589.867,1.228,O,22,15,BCC0103400,DRUG,no
MRMTRP33,12330,C20,249,493.82,0.502,C,20,33,BCC0050648,DRUG,no
MRMTRP1uM02,12385,I01,249,430.43,0.023,I,1,2,DMSO,DMSO,no
MRMTRP12,12302,F03,249,404.906,-0.171,F,3,12,DMSO,DMSO,no
MRMTRP29,12322,O21,249,380.75,-0.353,O,21,29,BCC0091748,DRUG,no
MRMTRP21,12315,C24,249,235.75,-1.45,C,24,21,,DRUG,no
MRMTRP25,12318,P22,249.5,929.188,3.795,P,22,25,BCC0040126,DRUG,no
MRMTRP30,12327,I20,249.5,537.086,0.829,I,20,30,BCC0032816,DRUG,no
MRMTRP33,12330,L04,249.5,485.891,0.442,L,4,33,STS,EtBr,no
MRMTRP32,12329,B24,249.5,466.078,0.292,B,24,32,BCC0032865,DRUG,no
MRMTRP10,12300,K04,249.5,463.375,0.272,K,4,10,STS,EtBr,no
MRMTRP36,12333,L19,249.5,440.727,0.1,L,19,36,BCC0029589,DRUG,no
MRMTRP13,12303,M20,249.5,427.93,0.004,M,20,13,BCC0071345,DRUG,no
MRMTRP24,12399,K01,249.5,423.711,-0.028,K,1,24,STS,DMSO,no
MRMTRP1uM03,12387,J09,249.5,418.148,-0.07,J,9,3,Tiabendazole,DRUG,no
MRMTRP40,12336,J13,249.5,412.336,-0.114,J,13,40,BCC0063185,DRUG,no
MRMTRP29,12322,L16,249.5,387.594,-0.301,L,16,29,BCC0099068,DRUG,no
MRMTRP35,12332,G16,249.5,337.672,-0.679,G,16,35,BCC0037049,DRUG,no
MRMTRP38,12335,C23,249.5,270.734,-1.185,C,23,38,BCC0084219,DRUG,no
MRMTRP06,12296,M21,249.5,244.398,-1.384,M,21,6,BCC0063402,DRUG,no
MRMTRP33,12330,B12,249.5,238.313,-1.43,B,12,33,BCC0040316,DRUG,no
MRMTRP10uM05,12392,N11,249.5,182.617,-1.852,N,11,5,Racepinephrine hydrochloride,DRUG,no
MRMTRP24,12399,M10,249.5,176.297,-1.899,M,10,24,BCC0035112,DRUG,no
MRMTRP38,12335,K14,249.5,124.617,-2.29,K,14,38,BCC0032594,DRUG,no
MRMTRP17,12398,A02,249.5,123.711,-2.297,A,2,17,DMSO,EtBr,no
MRMTRP09,12299,E02,250,541.945,0.866,E,2,9,DMSO,EtBr,no
MRMTRP1uM01,12383,D02,250,479.203,0.391,D,2,1,STS,EtBr,no
MRMTRP37,12334,D01,250,456.461,0.219,D,1,37,STS,DMSO,no
MRMTRP30,12327,L05,250,431.391,0.03,L,5,30,BCC0032707,DRUG,no
MRMTRP25,12318,M02,250,428.914,0.011,M,2,25,DMSO,EtBr,no
MRMTRP40,12336,M18,250,427.164,-0.002,M,18,40,BCC0071386,DRUG,no
MRMTRP10uM02,12386,F04,250,423.258,-0.032,F,4,2,DMSO,EtBr,no
MRMTRP40,12336,D19,250,408.18,-0.146,D,19,40,BCC0056473,DRUG,no
MRMTRP17,12398,L18,250,400.555,-0.203,L,18,17,BCC0079890,DRUG,no
MRMTRP08,12298,J03,250,398.969,-0.215,J,3,8,DMSO,DMSO,no
MRMTRP31,12328,I09,250,389.234,-0.289,I,9,31,BCC0068690,DRUG,no
MRMTRP38,12335,E01,250,381.211,-0.35,E,1,38,DMSO,DMSO,no
MRMTRP34,12331,C11,250,181.43,-1.861,C,11,34,BCC0045866,DRUG,no
MRMTRP16,12311,J08,250.5,481.008,0.405,J,8,16,BCC0040909,DRUG,no
MRMTRP40,12336,K01,250.5,449.109,0.164,K,1,40,STS,DMSO,no
MRMTRP10uM05,12392,L18,250.5,440.844,0.101,L,18,5,Valdecoxib,DRUG,no
MRMTRP35,12332,G04,250.5,438.711,0.085,G,4,35,PAC,EtBr,no
MRMTRP40,12336,D14,250.5,424.305,-0.024,D,14,40,BCC0071766,DRUG,no
MRMTRP33,12330,C18,250.5,423.117,-0.033,C,18,33,BCC0045374,DRUG,no
MRMTRP14,12397,I12,250.5,381.469,-0.348,I,12,14,BCC0042290,DRUG,no
MRMTRP31,12328,N03,250.5,261.156,-1.258,N,3,31,DMSO,DMSO,no
MRMTRP1uM02,12385,F08,250.5,250.125,-1.341,F,8,2,Doxepin hydrochloride,DRUG,no
MRMTRP21,12315,M16,250.5,238.672,-1.428,M,16,21,BCC0052377,DRUG,no
MRMTRP10uM02,12386,B23,250.5,198.055,-1.735,B,23,2,Isoniazid,DRUG,no
MRMTRP41,12401,P23,251,516.758,0.675,P,23,41,BCC0046785,DRUG,no
MRMTRP28,12321,K01,251,501.516,0.56,K,1,28,STS,DMSO,no
MRMTRP34,12331,L21,251,433.484,0.046,L,21,34,BCC0105818,DRUG,no
MRMTRP30,12327,F10,251,422.766,-0.035,F,10,30,BCC0036861,DRUG,no
MRMTRP1uM04,12389,K07,251,415.961,-0.087,K,7,4,Promazine hydrochloride,DRUG,no
MRMTRP14,12397,K11,251,385.25,-0.319,K,11,14,BCC0042757,DRUG,no
MRMTRP23,12317,L09,251,367.109,-0.456,L,9,23,BCC0094565,DRUG,no
MRMTRP10uM04,12390,L11,251,335.953,-0.692,L,11,4,Beclomethasone dipropionate,DRUG,no
MRMTRP42,12381,E04,251,333.469,-0.711,E,4,42,DMSO,EtBr,no
MRMTRP37,12334,H13,251,263.266,-1.242,H,13,37,BCC0038083,DRUG,no
MRMTRP25,12318,D18,251,118.609,-2.336,D,18,25,BCC0066397,DRUG,no
MRMTRP26,12319,N12,251,90.492,-2.548,N,12,26,BCC0068829,DRUG,no
MRMTRP17,12398,P01,251,49.633,-2.857,P,1,17,PAC,DMSO,no
MRMTRP09,12299,E22,251.5,556.188,0.974,E,22,9,BCC0073379,DRUG,no
MRMTRP33,12330,L19,251.5,494.047,0.504,L,19,33,BCC0078111,DRUG,no
MRMTRP1uM05,12391,P01,251.5,450.133,0.172,P,1,5,PAC,DMSO,no
MRMTRP30,12327,K11,251.5,438.969,0.087,K,11,30,BCC0051816,DRUG,no
MRMTRP12,12302,I06,251.5,428.867,0.011,I,6,12,BCC0039982,DRUG,no
MRMTRP41,12401,I10,251.5,392.727,-0.263,I,10,41,BCC0031897,DRUG,no
MRMTRP41,12401,L13,251.5,384.445,-0.325,L,13,41,BCC0060867,DRUG,no
MRMTRP10uM04,12390,B01,251.5,352.164,-0.569,B,1,4,DMSO,DMSO,no
MRMTRP10uM05,12392,O21,251.5,343.188,-0.637,O,21,5,Pyrvinium pamoate,DRUG,no
MRMTRP38,12335,L20,251.5,325.242,-0.773,L,20,38,BCC0091428,DRUG,no
MRMTRP1uM05,12391,E19,251.5,316.648,-0.838,E,19,5,Chlormadinone acetate,DRUG,no
MRMTRP36,12333,I13,251.5,247.68,-1.36,I,13,36,BCC0070146,DRUG,no
MRMTRP40,12336,P03,251.5,235.266,-1.454,P,3,40,PAC,DMSO,no
MRMTRP10uM02,12386,A04,251.5,-198.398,-4.733,A,4,2,DMSO,EtBr,no
MRMTRP12,12302,H17,252,510.891,0.631,H,17,12,BCC0031489,DRUG,no
MRMTRP29,12322,L20,252,501.719,0.562,L,20,29,BCC0101754,DRUG,no
MRMTRP10uM04,12390,F20,252,481.789,0.411,F,20,4,Nabumetone,DRUG,no
MRMTRP10uM04,12390,P14,252,427.875,0.003,P,14,4,Megestrol acetate,DRUG,no
MRMTRP1uM01,12383,F20,252,424.453,-0.023,F,20,1,Empty,DRUG,no
MRMTRP37,12334,B23,252,378.883,-0.367,B,23,37,BCC0068161,DRUG,no
MRMTRP35,12332,P02,252,320.328,-0.81,P,2,35,PAC,EtBr,no
MRMTRP30,12327,B06,252,309.922,-0.889,B,6,30,BCC0032799,DRUG,no
MRMTRP23,12317,P17,252,283.195,-1.091,P,17,23,BCC0071593,DRUG,no
MRMTRP1uM05,12391,K11,252,244.961,-1.38,K,11,5,Ethamsylate,DRUG,no
MRMTRP22,12316,H12,252,216.57,-1.595,H,12,22,BCC0092685,DRUG,no
MRMTRP38,12335,J21,252.5,424.398,-0.023,J,21,38,BCC0044360,DRUG,no
MRMTRP16,12311,H12,252.5,411.719,-0.119,H,12,16,BCC0030352,DRUG,no
MRMTRP15,12304,O14,252.5,397.477,-0.227,O,14,15,BCC0056170,DRUG,no
MRMTRP27,12320,B01,252.5,376.383,-0.386,B,1,27,DMSO,DMSO,no
MRMTRP35,12332,J12,252.5,374.656,-0.399,J,12,35,BCC0060945,DRUG,no
MRMTRP1uM03,12387,H07,252.5,320.969,-0.805,H,7,3,Norcyclobenzaprine,DRUG,no
MRMTRP32,12329,K17,252.5,281.992,-1.1,K,17,32,BCC0064931,DRUG,no
MRMTRP36,12333,I09,252.5,248.867,-1.351,I,9,36,BCC0082127,DRUG,no
MRMTRP31,12328,A04,252.5,240.617,-1.413,A,4,31,DMSO,EtBr,no
MRMTRP1uM02,12385,E20,252.5,90.813,-2.546,E,20,2,Dizocilpine maleate,DRUG,no
MRMTRP37,12334,J04,253,578.453,1.142,J,4,37,DMSO,EtBr,no
MRMTRP40,12336,F16,253,523.117,0.724,F,16,40,BCC0046711,DRUG,no
MRMTRP14,12397,H04,253,508.953,0.616,H,4,14,PAC,EtBr,no
MRMTRP15,12304,O16,253,460.125,0.247,O,16,15,BCC0088393,DRUG,no
MRMTRP34,12331,B04,253,425.797,-0.013,B,4,34,DMSO,EtBr,no
MRMTRP22,12316,J16,253,419.516,-0.06,J,16,22,BCC0032434,DRUG,no
MRMTRP33,12330,K09,253,409.727,-0.134,K,9,33,BCC0038823,DRUG,no
MRMTRP34,12331,F16,253,404.867,-0.171,F,16,34,BCC0111898,DRUG,no
MRMTRP38,12335,H15,253,396.836,-0.232,H,15,38,BCC0054529,DRUG,no
MRMTRP43,12382,H04,253,389.305,-0.289,H,4,43,PAC,EtBr,no
MRMTRP17,12398,D19,253,308.195,-0.902,D,19,17,BCC0068666,DRUG,no
MRMTRP15,12304,C14,253,296.961,-0.987,C,14,15,BCC0086925,DRUG,no
MRMTRP37,12334,M20,253,292.688,-1.019,M,20,37,BCC0076345,DRUG,no
MRMTRP11,12301,E20,253,292.617,-1.02,E,20,11,BCC0040390,DRUG,no
MRMTRP1uM01,12383,F10,253,261.813,-1.253,F,10,1,Empty,DRUG,no
MRMTRP09,12299,C18,253,142.016,-2.159,C,18,9,BCC0041710,DRUG,no
MRMTRP1uM04,12389,D08,253.5,589.805,1.228,D,8,4,Felbinac,DRUG,no
MRMTRP1uM01,12383,G24,253.5,489.367,0.468,G,24,1,H-8,DRUG,no
MRMTRP1uM05,12391,L19,253.5,425.648,-0.014,L,19,5,Nalmefene hydrochloride,DRUG,no
MRMTRP10uM02,12386,D14,253.5,410.883,-0.125,D,14,2,Isotretinoin,DRUG,no
MRMTRP22,12316,L19,253.5,393.18,-0.259,L,19,22,BCC0044982,DRUG,no
MRMTRP13,12303,E16,253.5,389.961,-0.284,E,16,13,BCC0042873,DRUG,no
MRMTRP32,12329,H10,253.5,346.43,-0.613,H,10,32,BCC0030061,DRUG,no
MRMTRP23,12317,C02,253.5,325.125,-0.774,C,2,23,STS,EtBr,no
MRMTRP38,12335,I14,253.5,252.805,-1.321,I,14,38,BCC0030370,DRUG,no
MRMTRP24,12399,G06,253.5,155.281,-2.058,G,6,24,BCC0085884,DRUG,no
MRMTRP06,12296,C01,253.5,42.523,-2.911,C,1,6,STS,DMSO,no
MRMTRP1uM01,12383,A01,253.5,-94.914,-3.951,A,1,1,DMSO,DMSO,no
MRMTRP1uM05,12391,J02,254,608.102,1.366,J,2,5,DMSO,EtBr,no
MRMTRP41,12401,L23,254,591.867,1.243,L,23,41,BCC0046758,DRUG,no
MRMTRP28,12321,J02,254,537.68,0.834,J,2,28,DMSO,EtBr,no
MRMTRP11,12301,L19,254,509.016,0.617,L,19,11,BCC0034707,DRUG,no
MRMTRP30,12327,I03,254,484.766,0.433,I,3,30,DMSO,DMSO,no
MRMTRP30,12327,F20,254,480.352,0.4,F,20,30,BCC0030764,DRUG,no
MRMTRP1uM02,12385,F22,254,475.078,0.36,F,22,2,Fendiline hydrochloride,DRUG,no
MRMTRP37,12334,N20,254,425.891,-0.012,N,20,37,BCC0074293,DRUG,no
MRMTRP08,12298,J20,254,417.5,-0.075,J,20,8,BCC0091614,DRUG,no
MRMTRP32,12329,L03,254,395.766,-0.24,L,3,32,STS,DMSO,no
MRMTRP22,12316,G21,254,374.75,-0.399,G,21,22,BCC0005659,DRUG,no
MRMTRP17,12398,E22,254,371.359,-0.424,E,22,17,BCC0049684,DRUG,no
MRMTRP10uM01,12384,F14,254,325.5,-0.771,F,14,1,Empty,DRUG,no
MRMTRP35,12332,P04,254,306.664,-0.914,P,4,35,PAC,EtBr,no
MRMTRP36,12333,N21,254,287.859,-1.056,N,21,36,BCC0048014,DRUG,no
MRMTRP25,12318,L05,254,262.844,-1.245,L,5,25,BCC0031666,DRUG,no
MRMTRP21,12315,I18,254,235.594,-1.451,I,18,21,,DRUG,no
MRMTRP1uM01,12383,N10,254,223.563,-1.542,N,10,1,Empty,DRUG,no
MRMTRP1uM02,12385,E02,254,186.961,-1.819,E,2,2,DMSO,EtBr,no
MRMTRP17,12398,D15,254,181.484,-1.86,D,15,17,BCC0103943,DRUG,no
MRMTRP20,12314,D07,254,-253.32,-5.149,D,7,20,BCC0046622,DRUG,no
MRMTRP16,12311,F24,254.5,550.078,0.927,F,24,16,BCC0056148,DRUG,no
MRMTRP37,12334,J21,254.5,437.906,0.079,J,21,37,BCC0076121,DRUG,no
MRMTRP23,12317,L04,254.5,430.406,0.022,L,4,23,STS,EtBr,no
MRMTRP37,12334,M23,254.5,427.195,-0.002,M,23,37,BCC0056486,DRUG,no
MRMTRP42,12381,H02,254.5,408.617,-0.142,H,2,42,PAC,EtBr,no
MRMTRP27,12320,L19,254.5,406.734,-0.157,L,19,27,BCC0106247,DRUG,no
MRMTRP12,12302,D04,254.5,393.484,-0.257,D,4,12,STS,EtBr,no
MRMTRP34,12331,F05,254.5,389.086,-0.29,F,5,34,BCC0030794,DRUG,no
MRMTRP06,12296,L02,254.5,365.336,-0.47,L,2,6,STS,EtBr,no
MRMTRP35,12332,C04,254.5,356.727,-0.535,C,4,35,STS,EtBr,no
MRMTRP11,12301,G20,254.5,324.133,-0.781,G,20,11,BCC0040398,DRUG,no
MRMTRP10,12300,C21,254.5,283.875,-1.086,C,21,10,BCC0033231,DRUG,no
MRMTRP20,12314,M15,254.5,240.156,-1.417,M,15,20,BCC0045790,DRUG,no
MRMTRP17,12398,C02,254.5,71.898,-2.689,C,2,17,STS,EtBr,no
MRMTRP32,12329,C23,255,506.891,0.601,C,23,32,BCC0065986,DRUG,no
MRMTRP34,12331,L04,255,448.141,0.156,L,4,34,STS,EtBr,no
MRMTRP23,12317,P22,255,441.867,0.109,P,22,23,BCC0071691,DRUG,no
MRMTRP21,12315,K23,255,441.398,0.105,K,23,21,,DRUG,no
MRMTRP10uM01,12384,H04,255,428.813,0.01,H,4,1,PAC,EtBr,no
MRMTRP36,12333,E04,255,415.492,-0.09,E,4,36,DMSO,EtBr,no
MRMTRP34,12331,P21,255,414.047,-0.101,P,21,34,BCC0046512,DRUG,no
MRMTRP38,12335,J15,255,395.805,-0.239,J,15,38,BCC0054839,DRUG,no
MRMTRP20,12314,K16,255,391.648,-0.271,K,16,20,BCC0061200,DRUG,no
MRMTRP40,12336,L12,255,344.906,-0.624,L,12,40,BCC0101040,DRUG,no
MRMTRP29,12322,M22,255,341.117,-0.653,M,22,29,BCC0079523,DRUG,no
MRMTRP34,12331,A01,255,309.313,-0.893,A,1,34,DMSO,DMSO,no
MRMTRP18,12312,H17,255,261.734,-1.253,H,17,18,BCC0103996,DRUG,no
MRMTRP10uM03,12388,M14,255,260.828,-1.26,M,14,3,Efavirenz,DRUG,no
MRMTRP10uM05,12392,C18,255,201.219,-1.711,C,18,5,Ondansetron Hydrochloride,DRUG,no
MRMTRP10,12300,H14,255,178.031,-1.886,H,14,10,BCC0079994,DRUG,no
MRMTRP10,12300,N03,255,68.945,-2.711,N,3,10,DMSO,DMSO,no
MRMTRP28,12321,F01,255.5,547.234,0.906,F,1,28,DMSO,DMSO,no
MRMTRP12,12302,F22,255.5,502.375,0.567,F,22,12,BCC0065462,DRUG,no
MRMTRP15,12304,L16,255.5,426.875,-0.004,L,16,15,BCC0080875,DRUG,no
MRMTRP31,12328,C21,255.5,400.563,-0.203,C,21,31,BCC0061318,DRUG,no
MRMTRP10uM04,12390,E20,255.5,390.93,-0.276,E,20,4,Isoetharine mesylate salt,DRUG,no
MRMTRP1uM03,12387,P20,255.5,362.789,-0.489,P,20,3,Etoricoxib,DRUG,no
MRMTRP31,12328,D06,255.5,326.906,-0.76,D,6,31,BCC0049931,DRUG,no
MRMTRP36,12333,H08,255.5,325.531,-0.771,H,8,36,BCC0102518,DRUG,no
MRMTRP41,12401,B13,255.5,325.32,-0.772,B,13,41,BCC0106199,DRUG,no
MRMTRP32,12329,F13,255.5,316.43,-0.84,F,13,32,BCC0088799,DRUG,no
MRMTRP41,12401,A18,255.5,310.133,-0.887,A,18,41,BCC0071034,DRUG,no
MRMTRP19,12313,M17,255.5,308.023,-0.903,M,17,19,BCC0037642,DRUG,no
MRMTRP09,12299,N22,255.5,228.203,-1.507,N,22,9,BCC0065240,DRUG,no
MRMTRP42,12381,B01,255.5,194.922,-1.759,B,1,42,DMSO,DMSO,no
MRMTRP22,12316,M09,255.5,-39.016,-3.528,M,9,22,BCC0052543,DRUG,no
MRMTRP25,12318,L24,256,605.109,1.344,L,24,25,BCC0087480,DRUG,no
MRMTRP35,12332,H20,256,494.313,0.506,H,20,35,BCC0061412,DRUG,no
MRMTRP33,12330,G22,256,467.094,0.3,G,22,33,BCC0042977,DRUG,no
MRMTRP12,12302,F24,256,460.914,0.253,F,24,12,BCC0030313,DRUG,no
MRMTRP21,12315,G24,256,458.063,0.231,G,24,21,,DRUG,no
MRMTRP1uM05,12391,E21,256,440.867,0.101,E,21,5,Phenylbutazone,DRUG,no
MRMTRP14,12397,K10,256,419.344,-0.061,K,10,14,BCC0042595,DRUG,no
MRMTRP33,12330,H05,256,411.617,-0.12,H,5,33,BCC0076304,DRUG,no
MRMTRP30,12327,H14,256,408.844,-0.141,H,14,30,BCC0039957,DRUG,no
MRMTRP24,12399,G03,256,408.078,-0.147,G,3,24,PAC,DMSO,no
MRMTRP33,12330,K16,256,400.063,-0.207,K,16,33,BCC0072380,DRUG,no
MRMTRP14,12397,J01,256,389.547,-0.287,J,1,14,DMSO,DMSO,no
MRMTRP36,12333,D04,256,387.227,-0.304,D,4,36,STS,EtBr,no
MRMTRP10uM02,12386,F09,256,362.047,-0.495,F,9,2,Methocarbamol,DRUG,no
MRMTRP20,12314,L16,256,329.477,-0.741,L,16,20,BCC0055791,DRUG,no
MRMTRP27,12320,J19,256,315.984,-0.843,J,19,27,BCC0048007,DRUG,no
MRMTRP25,12318,G04,256,313.031,-0.865,G,4,25,PAC,EtBr,no
MRMTRP27,12320,B23,256,311.383,-0.878,B,23,27,BCC0094149,DRUG,no
MRMTRP35,12332,A01,256,304.5,-0.93,A,1,35,DMSO,DMSO,no
MRMTRP43,12382,O04,256,158.633,-2.033,O,4,43,PAC,EtBr,no
MRMTRP11,12301,O19,256,140.297,-2.172,O,19,11,BCC0034677,DRUG,no
MRMTRP10uM01,12384,L01,256.5,562.164,1.019,L,1,1,STS,DMSO,no
MRMTRP40,12336,F17,256.5,464.039,0.277,F,17,40,BCC0046751,DRUG,no
MRMTRP35,12332,D04,256.5,460.648,0.251,D,4,35,STS,EtBr,no
MRMTRP15,12304,K01,256.5,451.406,0.181,K,1,15,STS,DMSO,no
MRMTRP1uM04,12389,M05,256.5,441.539,0.107,M,5,4,Succinylsulfathiazole,DRUG,no
MRMTRP34,12331,G18,256.5,433.273,0.044,G,18,34,BCC0057338,DRUG,no
MRMTRP13,12303,F02,256.5,432.742,0.04,F,2,13,DMSO,EtBr,no
MRMTRP31,12328,F10,256.5,417.906,-0.072,F,10,31,BCC0109629,DRUG,no
MRMTRP39,12400,O24,256.5,410.883,-0.125,O,24,39,BCC0078416,DRUG,no
MRMTRP36,12333,H17,256.5,401.586,-0.196,H,17,36,BCC0103207,DRUG,no
MRMTRP40,12336,E11,256.5,343.133,-0.638,E,11,40,BCC0076992,DRUG,no
MRMTRP35,12332,D07,256.5,337.609,-0.679,D,7,35,BCC0060090,DRUG,no
MRMTRP41,12401,J07,256.5,294.922,-1.002,J,7,41,BCC0056143,DRUG,no
MRMTRP15,12304,C01,256.5,270.453,-1.187,C,1,15,STS,DMSO,no
MRMTRP09,12299,C12,256.5,139.211,-2.18,C,12,9,BCC0077115,DRUG,no
MRMTRP10uM04,12390,P02,257,478.188,0.384,P,2,4,PAC,EtBr,no
MRMTRP32,12329,E20,257,438.57,0.084,E,20,32,BCC0066345,DRUG,no
MRMTRP10uM02,12386,J08,257,420.898,-0.05,J,8,2,Homochlorcyclizine dihydrochloride,DRUG,no
MRMTRP1uM03,12387,I19,257,403.125,-0.184,I,19,3,Meloxicam,DRUG,no
MRMTRP38,12335,J18,257,402.633,-0.188,J,18,38,BCC0040870,DRUG,no
MRMTRP1uM03,12387,J03,257,397.594,-0.226,J,3,3,DMSO,DMSO,no
MRMTRP42,12381,D04,257,395.234,-0.244,D,4,42,STS,EtBr,no
MRMTRP22,12316,N04,257,363.75,-0.482,N,4,22,DMSO,EtBr,no
MRMTRP38,12335,C04,257,324.625,-0.778,C,4,38,STS,EtBr,no
MRMTRP12,12302,N19,257,255.516,-1.3,N,19,12,BCC0040113,DRUG,no
MRMTRP09,12299,N09,257,238.078,-1.432,N,9,9,BCC0029631,DRUG,no
MRMTRP21,12315,K20,257,210.828,-1.638,K,20,21,,DRUG,no
MRMTRP42,12381,O04,257,197.906,-1.736,O,4,42,PAC,EtBr,no
MRMTRP23,12317,E14,257,164.945,-1.985,E,14,23,BCC0045419,DRUG,no
MRMTRP1uM01,12383,C21,257,110.703,-2.396,C,21,1,Boc-Gly-Val-Val-CHO,DRUG,no
MRMTRP1uM04,12389,A04,257,68.609,-2.714,A,4,4,DMSO,EtBr,no
MRMTRP28,12321,J04,257.5,496.703,0.524,J,4,28,DMSO,EtBr,no
MRMTRP40,12336,I19,257.5,446.727,0.146,I,19,40,BCC0055587,DRUG,no
MRMTRP41,12401,L15,257.5,425.367,-0.016,L,15,41,BCC0063347,DRUG,no
MRMTRP35,12332,M22,257.5,417.227,-0.077,M,22,35,BCC0052420,DRUG,no
MRMTRP10uM03,12388,I04,257.5,416.023,-0.086,I,4,3,DMSO,EtBr,no
MRMTRP18,12312,E02,257.5,390.398,-0.28,E,2,18,DMSO,EtBr,no
MRMTRP20,12314,M16,257.5,371.961,-0.42,M,16,20,BCC0059967,DRUG,no
MRMTRP35,12332,I08,257.5,347.703,-0.603,I,8,35,BCC0100114,DRUG,no
MRMTRP32,12329,M16,257.5,322.633,-0.793,M,16,32,BCC0077482,DRUG,no
MRMTRP14,12397,K09,257.5,313.055,-0.865,K,9,14,BCC0038134,DRUG,no
MRMTRP14,12397,H05,257.5,192.672,-1.776,H,5,14,BCC0035995,DRUG,no
MRMTRP12,12302,M23,257.5,-18.547,-3.373,M,23,12,BCC0069509,DRUG,no
MRMTRP15,12304,L20,258,486.492,0.447,L,20,15,BCC0040239,DRUG,no
MRMTRP30,12327,L22,258,477.398,0.378,L,22,30,BCC0048550,DRUG,no
MRMTRP1uM03,12387,H01,258,444.664,0.13,H,1,3,PAC,DMSO,no
MRMTRP10uM01,12384,I04,258,437.297,0.074,I,4,1,DMSO,EtBr,no
MRMTRP40,12336,D04,258,430.094,0.02,D,4,40,STS,EtBr,no
MRMTRP15,12304,G12,258,422.703,-0.036,G,12,15,BCC0037538,DRUG,no
MRMTRP32,12329,H09,258,380.375,-0.356,H,9,32,BCC0040174,DRUG,no
MRMTRP41,12401,P04,258,376.18,-0.388,P,4,41,PAC,EtBr,no
MRMTRP1uM03,12387,P22,258,375.188,-0.395,P,22,3,Sertindole,DRUG,no
MRMTRP1uM05,12391,F19,258,365.414,-0.469,F,19,5,Vardenafil,DRUG,no
MRMTRP31,12328,L11,258,363.07,-0.487,L,11,31,BCC0035688,DRUG,no
MRMTRP21,12315,E21,258,333.688,-0.709,E,21,21,,DRUG,no
MRMTRP35,12332,L10,258,303.617,-0.937,L,10,35,BCC0055227,DRUG,no
MRMTRP36,12333,O09,258,139.586,-2.177,O,9,36,BCC0052147,DRUG,no
MRMTRP1uM05,12391,A01,258,-63.336,-3.712,A,1,5,DMSO,DMSO,no
MRMTRP23,12317,H24,258.5,669.367,1.83,H,24,23,BCC0032051,DRUG,no
MRMTRP1uM04,12389,E01,258.5,500.484,0.552,E,1,4,DMSO,DMSO,no
MRMTRP31,12328,J07,258.5,487.18,0.452,J,7,31,BCC0047680,DRUG,no
MRMTRP19,12313,J18,258.5,444.648,0.13,J,18,19,BCC0065633,DRUG,no
MRMTRP30,12327,J15,258.5,443.156,0.119,J,15,30,BCC0039446,DRUG,no
MRMTRP33,12330,J08,258.5,431.57,0.031,J,8,33,BCC0085398,DRUG,no
MRMTRP10uM04,12390,I21,258.5,430.328,0.022,I,21,4,Irinotecan hydrochloride trihydrate,DRUG,no
MRMTRP14,12397,E15,258.5,409.328,-0.137,E,15,14,BCC0036982,DRUG,no
MRMTRP12,12302,J08,258.5,405.563,-0.166,J,8,12,BCC0032869,DRUG,no
MRMTRP36,12333,L21,258.5,399.828,-0.209,L,21,36,BCC0048519,DRUG,no
MRMTRP14,12397,I10,258.5,399.156,-0.214,I,10,14,BCC0045644,DRUG,no
MRMTRP1uM01,12383,O02,258.5,382.094,-0.343,O,2,1,PAC,EtBr,no
MRMTRP10uM03,12388,K19,258.5,374.938,-0.397,K,19,3,Nefazodone hydrochloride,DRUG,no
MRMTRP16,12311,M19,258.5,363.633,-0.483,M,19,16,BCC0006038,DRUG,no
MRMTRP18,12312,G16,258.5,318.445,-0.824,G,16,18,BCC0030209,DRUG,no
MRMTRP10,12300,C17,258.5,262.734,-1.246,C,17,10,BCC0050557,DRUG,no
MRMTRP32,12329,I13,258.5,241.867,-1.404,I,13,32,BCC0085692,DRUG,no
MRMTRP1uM05,12391,F17,258.5,192.828,-1.774,F,17,5,Cladribine,DRUG,no
